ELEMENT_NAME,DATA_TYPE,DESCRIPTION,VALUE_RANGE,NOTES,ALIASES
hcpsychs_fu_ac30,Integer,SIPS CHR Full Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac31,Integer,SIPS Current Status,1::5;-900;-300,Redcap variable; 1 = Psychosis; 2 = SIPS CHR Progression; 3 = SIPS CHR Persistence; 4 = SIPS CHR Partial Remission; 5 = SIPS CHR Full Remission; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac32,Integer,DSM-5 Attenuated Psychosis Syndrome,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
,,,,,
chrpsychs_fu_ac1,Integer,Psychosis,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac1_curr,Integer,Psychosis at any time since the previous visit,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac1_prev,Integer,Psychosis at previous visit,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac1_first,Integer,Psychosis for the first time at the current visit,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac1_conv,Integer,Psychosis for the first time at the current visit and no psychosis before,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac9,Integer,SIPS BIPS Progression,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac10,Integer,SIPS BIPS Persistence,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac11,Integer,SIPS BIPS Partial Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac12,Integer,SIPS BIPS Full Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac15,Integer,SIPS APSS Progression,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac16,Integer,SIPS APSS Persistence,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac17,Integer,SIPS APSS Partial Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac18,Integer,SIPS APSS Full Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac21,Integer,SIPS GRD Progression,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac22,Integer,SIPS GRD Persistence,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac23,Integer,SIPS GRD Partial Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac24,Integer,SIPS GRD Full Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac27,Integer,SIPS CHR Progression,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac28,Integer,SIPS CHR Persistence,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac29,Integer,SIPS CHR Partial Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac30,Integer,SIPS CHR Full Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac31,Integer,SIPS Current Status,1::5;-900;-300,Redcap variable; 1 = Psychosis; 2 = SIPS CHR Progression; 3 = SIPS CHR Persistence; 4 = SIPS CHR Partial Remission; 5 = SIPS CHR Full Remission; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac32,Integer,DSM-5 Attenuated Psychosis Syndrome,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
