ELEMENT_NAME,DATA_TYPE,DESCRIPTION,VALUE_RANGE,NOTES,ALIASES
chrscid_amc_depr,Integer,SCID: Depressive disorder due to an AMC,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_other_depr,Integer,SCID: Other specified or unspecified depressive disorder,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_alcohol_use_disorder,Integer,SCID: Alcohol use disorder,0::3;-900;-300,"0=Absent;1=Mild;2=Moderate;3=Severe;-900=Missing;-300=Not applicable;Combines current and past, highest severity of disorder",
chrscid_sedhypanx_use_disorder,Integer,SCID: Sedative/Anxiolytics/Sedative use disorder,0::3;-900;-300,"0=Absent;1=Mild;2=Moderate;3=Severe;-900=Missing;-300=Not applicable;Combines current and past, highest severity of disorder",
chrscid_cannabis_use_disorder,Integer,SCID: Cannabis use disorder,0::3;-900;-300,"0=Absent;1=Mild;2=Moderate;3=Severe;-900=Missing;-300=Not applicable;Combines current and past, highest severity of disorder",
chrscid_stimulants_use_disorder,Integer,SCID: Stimulants use disorder,0::3;-900;-300,"0=Absent;1=Mild;2=Moderate;3=Severe;-900=Missing;-300=Not applicable;Combines current and past, highest severity of disorder",
chrscid_opiod_use_disorder,Integer,SCID: Opiod use disorder,0::3;-900;-300,"0=Absent;1=Mild;2=Moderate;3=Severe;-900=Missing;-300=Not applicable;Combines current and past, highest severity of disorder",
chrscid_inhalants_use_disorder,Integer,SCID: Inhalants use disorder,0::3;-900;-300,"0=Absent;1=Mild;2=Moderate;3=Severe;-900=Missing;-300=Not applicable;Combines current and past, highest severity of disorder",
chrscid_pcp_use_disorder,Integer,SCID: PCP use disorder,0::3;-900;-300,"0=Absent;1=Mild;2=Moderate;3=Severe;-900=Missing;-300=Not applicable;Combines current and past, highest severity of disorder",
chrscid_halluc_use_disorder,Integer,SCID: Hallucinogens use disorder,0::3;-900;-300,"0=Absent;1=Mild;2=Moderate;3=Severe;-900=Missing;-300=Not applicable;Combines current and past, highest severity of disorder",
chrscid_other_use_disorder,Integer,SCID: Other unknown substance use disorder,0::3;-900;-300,"0=Absent;1=Mild;2=Moderate;3=Severe;-900=Missing;-300=Not applicable;Combines current and past, highest severity of disorder",
chrscid_any_psychosis,Integer,SCID: Any psychotic disorder,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_any_bipolar,Integer,SCID: Any bipolar disorder,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_any_depression,Integer,SCID: Any depressive disorder,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_any_mood,Integer,SCID: Any mood disorder,0;1;-900;-300,0=Absent;1=Full diagnostic criteria;-900=Missing;-300=Not applicable,
chrscid_any_subst_use_disorder,Integer,SCID: Any substance use disorder,0::3;-900;-300,"0=Absent;1=Mild;2=Moderate;3=Severe;-900=Missing;-300=Not applicable;Combines current and past, highest severity of disorder",
