ELEMENT_NAME,DATA_TYPE,DESCRIPTION,VALUE_RANGE,NOTES,ALIASES
hcpsychs_fu_ac30,Integer,SIPS CHR Full Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac31,Integer,SIPS Current Status,1::5;-900;-300,Redcap variable; 1 = Psychosis; 2 = SIPS CHR Progression; 3 = SIPS CHR Persistence; 4 = SIPS CHR Partial Remission; 5 = SIPS CHR Full Remission; -900 = Missing; -300 = Not Applicable,
hcpsychs_fu_ac32,Integer,DSM-5 Attenuated Psychosis Syndrome,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
,,,,,
chrpsychs_fu_ac1,Integer,Psychosis,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac1_curr,Integer,Psychosis at any time since the previous visit,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac1_prev,Integer,Psychosis at previous visit,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac1_first,Integer,Psychosis for the first time at the current visit,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac1_conv,Integer,Psychosis for the first time at the current visit and no psychosis before,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac9,Integer,SIPS BIPS Progression,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac10,Integer,SIPS BIPS Persistence,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac11,Integer,SIPS BIPS Partial Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac12,Integer,SIPS BIPS Full Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac15,Integer,SIPS APSS Progression,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac16,Integer,SIPS APSS Persistence,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac17,Integer,SIPS APSS Partial Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac18,Integer,SIPS APSS Full Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac21,Integer,SIPS GRD Progression,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac22,Integer,SIPS GRD Persistence,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac23,Integer,SIPS GRD Partial Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac24,Integer,SIPS GRD Full Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac27,Integer,SIPS CHR Progression,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac28,Integer,SIPS CHR Persistence,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac29,Integer,SIPS CHR Partial Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac30,Integer,SIPS CHR Full Remission,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac31,Integer,SIPS Current Status,1::5;-900;-300,Redcap variable; 1 = Psychosis; 2 = SIPS CHR Progression; 3 = SIPS CHR Persistence; 4 = SIPS CHR Partial Remission; 5 = SIPS CHR Full Remission; -900 = Missing; -300 = Not Applicable,
chrpsychs_fu_ac32,Integer,DSM-5 Attenuated Psychosis Syndrome,0;1;-900;-300,Redcap variable; 0 = No; 1 = Yes; -900 = Missing; -300 = Not Applicable,
,,,,,
sips_bips_scr_lifetime,Integer,SIPS BIPS Status at screening Lifetime,0;1;-900;-300,"if (any of (chrpsychs_scr_1a10, chrpsychs_scr_2a10, chrpsychs_scr_3a10, chrpsychs_scr_4a10, chrpsychs_scr_5a10, chrpsychs_scr_6a10, chrpsychs_scr_7a10, chrpsychs_scr_8a10, chrpsychs_scr_9a10, chrpsychs_scr_10a10, chrpsychs_scr_11a10, chrpsychs_scr_12a10, chrpsychs_scr_13a10, chrpsychs_scr_14a10, chrpsychs_scr_15a10) == 1) and chrpsychs_scr_ac1 == 0 or min(chrpsychs_scr_1a10_on, chrpsychs_scr_2a10_on, chrpsychs_scr_3a10_on, chrpsychs_scr_4a10_on, chrpsychs_scr_5a10_on, chrpsychs_scr_6a10_on, chrpsychs_scr_7a10_on, chrpsychs_scr_8a10_on, chrpsychs_scr_9a10_on, chrpsychs_scr_10a10_on, chrpsychs_scr_11a10_on, chrpsychs_scr_12a10_on, chrpsychs_scr_13a10_on, chrpsychs_scr_14a10_on, chrpsychs_scr_15a10_on) < psychosis_onset_date, then sips_bips_scr_lifetime = 1, elseif: all of (chrpsychs_scr_1a10, chrpsychs_scr_2a10, chrpsychs_scr_3a10, chrpsychs_scr_4a10, chrpsychs_scr_5a10, chrpsychs_scr_6a10, chrpsychs_scr_7a10, chrpsychs_scr_8a10, chrpsychs_scr_9a10, chrpsychs_scr_10a10, chrpsychs_scr_11a10, chrpsychs_scr_12a10, chrpsychs_scr_13a10, chrpsychs_scr_14a10, chrpsychs_scr_15a10) == 0) or (chrpsychs_scr_ac1 == 1 and (min(chrpsychs_scr_1a10_on, chrpsychs_scr_2a10_on, chrpsychs_scr_3a10_on, chrpsychs_scr_4a10_on, chrpsychs_scr_5a10_on, chrpsychs_scr_6a10_on, chrpsychs_scr_7a10_on, chrpsychs_scr_8a10_on, chrpsychs_scr_9a10_on, chrpsychs_scr_10a10_on, chrpsychs_scr_11a10_on, chrpsychs_scr_12a10_on, chrpsychs_scr_13a10_on, chrpsychs_scr_14a10_on, chrpsychs_scr_15a10_on)) >= psychosis_onset_date, then sips_bips_scr_lifetime = 0, else sips_bips_scr_lifetime = -900. ",
sips_aps_scr_lifetime,Integer,SIPS APS Status at screening Lifetime,0;1;-900;-300,"if (any of (chrpsychs_scr_1a14, chrpsychs_scr_2a14, chrpsychs_scr_3a14, chrpsychs_scr_4a14, chrpsychs_scr_5a14, chrpsychs_scr_6a14, chrpsychs_scr_7a14, chrpsychs_scr_8a14, chrpsychs_scr_9a14, chrpsychs_scr_10a14, chrpsychs_scr_11a14, chrpsychs_scr_12a14, chrpsychs_scr_13a14, chrpsychs_scr_14a14, chrpsychs_scr_15a14) == 1) and chrpsychs_scr_ac1 == 0 or min(chrpsychs_scr_1a14_on, chrpsychs_scr_2a14_on, chrpsychs_scr_3a14_on, chrpsychs_scr_4a14_on, chrpsychs_scr_5a14_on, chrpsychs_scr_6a14_on, chrpsychs_scr_7a14_on, chrpsychs_scr_8a14_on, chrpsychs_scr_9a14_on, chrpsychs_scr_10a14_on, chrpsychs_scr_11a14_on, chrpsychs_scr_12a14_on, chrpsychs_scr_13a14_on, chrpsychs_scr_14a14_on, chrpsychs_scr_15a14_on) < psychosis_onset_date, then sips_aps_scr_lifetime = 1, elseif: all of (chrpsychs_scr_1a14, chrpsychs_scr_2a14, chrpsychs_scr_3a14, chrpsychs_scr_4a14, chrpsychs_scr_5a14, chrpsychs_scr_6a14, chrpsychs_scr_7a14, chrpsychs_scr_8a14, chrpsychs_scr_9a14, chrpsychs_scr_10a14, chrpsychs_scr_11a14, chrpsychs_scr_12a14, chrpsychs_scr_13a14, chrpsychs_scr_14a14, chrpsychs_scr_15a14) == 0) or (chrpsychs_scr_ac1 == 1 and (min(chrpsychs_scr_1a14_on, chrpsychs_scr_2a14_on, chrpsychs_scr_3a14_on, chrpsychs_scr_4a14_on, chrpsychs_scr_5a14_on, chrpsychs_scr_6a14_on, chrpsychs_scr_7a14_on, chrpsychs_scr_8a14_on, chrpsychs_scr_9a14_on, chrpsychs_scr_10a14_on, chrpsychs_scr_11a14_on, chrpsychs_scr_12a14_on, chrpsychs_scr_13a14_on, chrpsychs_scr_14a14_on, chrpsychs_scr_15a14_on)) >= psychosis_onset_date, then sips_aps_scr_lifetime = 0, else sips_aps_scr_lifetime = -900. ",
sips_grd_scr_lifetime,Integer,SIPS GRD Status at screening Lifetime,0;1;-900;-300,"if (any of (chrpsychs_scr_e4) == 1) and chrpsychs_scr_ac1 == 0 or min(chrpsychs_scr_e4_date) < psychosis_onset_date, then sips_grd_scr_lifetime = 1, elseif: all of (chrpsychs_scr_e4) == 0) or (chrpsychs_scr_ac1 == 1 and (min(chrpsychs_scr_e4_date)) >= psychosis_onset_date, then sips_grd_scr_lifetime = 0, else sips_grd_scr_lifetime = -900. ",
sips_chr_scr_lifetime,Integer,SIPS CHR Status at screening Lifetime,0;1;-900;-300,"if (any of (sips_bips_scr_lifetime, sips_aps_scr_lifetime, sips_grd_scr_lifetime) == 1) then sips_chr_scr_lifetime = 1, elseif: all of (sips_bips_scr_lifetime, sips_aps_scr_lifetime, sips_grd_scr_lifetime) == 0) , then sips_chr_scr_lifetime = 0, else sips_chr_scr_lifetime = -900. ",
,,,,,
sips_bips_fu_new,Integer,SIPS BIPS Status at respective follow-up visit,0;1;-900;-300,"if (any of (chrpsychs_fu_1c10, chrpsychs_fu_2c10, chrpsychs_fu_3c10, chrpsychs_fu_4c10, chrpsychs_fu_5c10, chrpsychs_fu_6c10, chrpsychs_fu_7c10, chrpsychs_fu_8c10, chrpsychs_fu_9c10, chrpsychs_fu_10c10, chrpsychs_fu_11c10, chrpsychs_fu_12c10, chrpsychs_fu_13c10, chrpsychs_fu_14c10, chrpsychs_fu_15c10) == 1) and chrpsychs_fu_ac1_conv == 0 or min(chrpsychs_fu_1c10_on, chrpsychs_fu_2c10_on, chrpsychs_fu_3c10_on, chrpsychs_fu_4c10_on, chrpsychs_fu_5c10_on, chrpsychs_fu_6c10_on, chrpsychs_fu_7c10_on, chrpsychs_fu_8c10_on, chrpsychs_fu_9c10_on, chrpsychs_fu_10c10_on, chrpsychs_fu_11c10_on, chrpsychs_fu_12c10_on, chrpsychs_fu_13c10_on, chrpsychs_fu_14c10_on, chrpsychs_fu_15c10_on) < conversion_date, then sips_bips_fu_new = 1, elseif: all of (chrpsychs_fu_1c10, chrpsychs_fu_2c10, chrpsychs_fu_3c10, chrpsychs_fu_4c10, chrpsychs_fu_5c10, chrpsychs_fu_6c10, chrpsychs_fu_7c10, chrpsychs_fu_8c10, chrpsychs_fu_9c10, chrpsychs_fu_10c10, chrpsychs_fu_11c10, chrpsychs_fu_12c10, chrpsychs_fu_13c10, chrpsychs_fu_14c10, chrpsychs_fu_15c10) == 0) or (chrpsychs_fu_ac1_conv == 1 and (min(chrpsychs_fu_1c10_on, chrpsychs_fu_2c10_on, chrpsychs_fu_3c10_on, chrpsychs_fu_4c10_on, chrpsychs_fu_5c10_on, chrpsychs_fu_6c10_on, chrpsychs_fu_7c10_on, chrpsychs_fu_8c10_on, chrpsychs_fu_9c10_on, chrpsychs_fu_10c10_on, chrpsychs_fu_11c10_on, chrpsychs_fu_12c10_on, chrpsychs_fu_13c10_on, chrpsychs_fu_14c10_on, chrpsychs_fu_15c10_on)) >= conversion_date, then sips_bips_fu_new = 0, else sips_bips_fu_new = -900. Same equation applies to HC follow up variables.",
sips_bips_lifetime,Integer,SIPS BIPS Lifetime,0;1;-900;-300,"if (sips_bips_scr_lifetime == 1 or any of current or preceding visits' sips_bips_fu_new == 1) then sips_bips_lifetime = 1, else if sips_bips_scr_lifetime == 0 and all current or preceding visits' sips_bips_fu_new == 0, then sips_bips_lifetime = 0, else -900.",
